<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.14	06:00:00	1.31309	1.31392	1.31283	1.31375	1199	0	0
2023.07.14	06:30:00	1.31375	1.31421	1.31374	1.31381	1058	0	0
2023.07.14	07:00:00	1.31381	1.31381	1.31244	1.31249	915	0	0
2023.07.14	07:30:00	1.31248	1.31349	1.31247	1.31310	1244	0	0
2023.07.14	08:00:00	1.31309	1.31325	1.31244	1.31256	1056	0	0
2023.07.14	08:30:00	1.31257	1.31267	1.31142	1.31186	1421	0	0
2023.07.14	09:00:00	1.31189	1.31234	1.31060	1.31090	1497	0	0
2023.07.14	09:30:00	1.31090	1.31100	1.30930	1.30985	1575	0	0
2023.07.14	10:00:00	1.30984	1.31147	1.30983	1.31035	1915	0	0
2023.07.14	10:30:00	1.31035	1.31157	1.30990	1.31156	1678	0	0
2023.07.14	11:00:00	1.31156	1.31238	1.31125	1.31228	1310	0	0
2023.07.14	11:30:00	1.31228	1.31255	1.31157	1.31206	1262	0	0
2023.07.14	12:00:00	1.31206	1.31421	1.31199	1.31245	1385	0	0
2023.07.14	12:30:00	1.31245	1.31264	1.31105	1.31130	1350	0	0
2023.07.14	13:00:00	1.31130	1.31206	1.31016	1.31067	1845	0	0
2023.07.14	13:30:00	1.31066	1.31110	1.31033	1.31094	1458	0	0
2023.07.14	14:00:00	1.31096	1.31274	1.31081	1.31260	1378	0	0
2023.07.14	14:30:00	1.31260	1.31274	1.31109	1.31132	1202	0	0
2023.07.14	15:00:00	1.31134	1.31180	1.31013	1.31101	1914	0	0
2023.07.14	15:30:00	1.31102	1.31180	1.31004	1.31132	2525	0	0
2023.07.14	16:00:00	1.31130	1.31132	1.30992	1.31080	2062	0	0
2023.07.14	16:30:00	1.31087	1.31303	1.31070	1.31249	2554	0	0
2023.07.14	17:00:00	1.31252	1.31252	1.30936	1.31109	4128	0	0
2023.07.14	17:30:00	1.31109	1.31182	1.31012	1.31177	2986	0	0
2023.07.14	18:00:00	1.31181	1.31226	1.31137	1.31171	1964	0	0
2023.07.14	18:30:00	1.31170	1.31230	1.31074	1.31108	1737	0	0
2023.07.14	19:00:00	1.31109	1.31152	1.31070	1.31078	1558	0	0
2023.07.14	19:30:00	1.31077	1.31171	1.31035	1.31128	1144	0	0
2023.07.14	20:00:00	1.31136	1.31147	1.30994	1.31025	1134	0	0
2023.07.14	20:30:00	1.31026	1.31098	1.31023	1.31044	968	0	0
2023.07.14	21:00:00	1.31043	1.31082	1.31035	1.31071	1062	0	0
