Iteration at time 2024-05-23 23:22:11.929689, current price: 67668.76, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:23:11.976928, current price: 67610.82, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:24:12.020990, current price: 67633.46, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:25:12.057311, current price: 67648.46, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:26:12.095268, current price: 67612.18, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:27:12.135016, current price: 67594.79, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:28:12.169804, current price: 67610.61, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:29:12.206349, current price: 67600.03, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:30:12.253793, current price: 67609.4, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:31:12.294676, current price: 67597.53, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:32:12.332334, current price: 67560.48, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:33:12.371659, current price: 67650.79, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:34:12.406972, current price: 67640.55, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:35:12.451580, current price: 67632.99, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:36:12.496710, current price: 67654.0, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:37:12.534159, current price: 67643.8, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:38:12.572151, current price: 67635.2, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:39:12.610805, current price: 67603.33, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:40:12.644909, current price: 67598.54, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:41:12.688083, current price: 67611.59, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:42:12.729632, current price: 67597.84, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:43:12.767815, current price: 67638.68, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:44:12.806035, current price: 67596.09, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:45:12.850487, current price: 67632.41, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:46:12.894167, current price: 67525.07, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:47:12.949375, current price: 67612.44, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:48:12.989066, current price: 67552.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:49:13.023847, current price: 67542.42, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:50:13.067653, current price: 67537.79, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:51:13.107080, current price: 67580.91, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:52:13.146627, current price: 67619.41, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:53:13.186356, current price: 67648.16, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:54:13.229302, current price: 67645.0, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:55:13.264238, current price: 67659.51, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:56:13.305717, current price: 67654.24, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:57:13.340122, current price: 67684.01, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:58:13.375184, current price: 67643.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:59:13.417300, current price: 67619.12, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:00:13.470805, current price: 67696.6, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:01:13.513253, current price: 67695.4, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:02:13.527691, current price: 67694.89, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:03:13.541246, current price: 67650.49, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:04:13.556240, current price: 67642.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:05:13.569459, current price: 67635.13, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:06:13.584015, current price: 67617.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:07:13.597644, current price: 67676.29, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:08:13.612093, current price: 67685.79, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:09:13.636286, current price: 67617.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:10:13.653333, current price: 67607.36, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:11:13.670188, current price: 67649.86, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:12:13.695153, current price: 67581.2, positions: 0, capital: 1467.0407010310732
Entered position at time 2024-05-24 00:13:13.709702, price: 67531.03, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:13:13.709702, current price: 67531.03, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:14:13.746824, current price: 67481.55, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:15:13.788709, current price: 67489.66, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:16:13.822819, current price: 67511.88, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:17:13.858559, current price: 67541.27, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:18:13.901975, current price: 67542.02, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:19:13.956042, current price: 67538.02, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:20:13.994617, current price: 67528.36, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:21:14.035948, current price: 67518.04, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:22:14.079163, current price: 67527.8, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:23:14.126529, current price: 67529.8, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:24:14.161572, current price: 67627.55, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:25:14.203940, current price: 67584.83, positions: 0.0148080075189139, capital: 1467.0407010310732
Iteration at time 2024-05-24 00:26:14.244689, current price: 67635.38, positions: 0.0148080075189139, capital: 1467.0407010310732
Exited position at time 2024-05-24 00:27:14.288314, price: 67652.35, profit_percentage: 0.17965074721947374, profit: 179.65074721947377, capital: 1646.691448250547
Iteration at time 2024-05-24 00:27:14.288314, current price: 67652.35, positions: 0, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:28:14.346033, current price: 67667.57, positions: 0, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:29:14.380815, current price: 67657.57, positions: 0, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:30:14.421023, current price: 67641.89, positions: 0, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:31:14.459591, current price: 67619.95, positions: 0, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:32:14.497355, current price: 67626.14, positions: 0, capital: 1826.3421954700207
Entered position at time 2024-05-24 00:33:14.538486, price: 67617.77, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:33:14.538486, current price: 67617.77, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:34:14.580170, current price: 67716.52, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:35:14.612060, current price: 67708.01, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:36:14.645074, current price: 67673.76, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:37:14.682955, current price: 67703.26, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:38:14.727728, current price: 67706.58, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:39:14.771261, current price: 67665.29, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:40:14.810474, current price: 67647.53, positions: 0.014789011823371282, capital: 1826.3421954700207
Iteration at time 2024-05-24 00:41:14.845655, current price: 67695.53, positions: 0.014789011823371282, capital: 1826.3421954700207
