<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.10	11:00:00	1.24698	1.24861	1.24693	1.24823	5104	0	0
2022.06.10	12:00:00	1.24821	1.24843	1.24489	1.24552	4527	0	0
2022.06.10	13:00:00	1.24554	1.24586	1.24359	1.24440	4350	0	0
2022.06.10	14:00:00	1.24440	1.24442	1.24221	1.24374	4712	0	0
2022.06.10	15:00:00	1.24374	1.24518	1.23826	1.23831	8486	0	0
2022.06.10	16:00:00	1.23834	1.24144	1.23630	1.23694	9166	0	0
2022.06.10	17:00:00	1.23694	1.23702	1.23327	1.23436	8286	0	0
2022.06.10	18:00:00	1.23436	1.23462	1.23121	1.23288	6730	0	0
2022.06.10	19:00:00	1.23288	1.23291	1.23094	1.23113	4707	0	0
2022.06.10	20:00:00	1.23112	1.23228	1.23022	1.23062	5073	0	0
2022.06.10	21:00:00	1.23061	1.23183	1.23010	1.23155	4094	0	0
2022.06.10	22:00:00	1.23154	1.23203	1.23095	1.23102	4529	0	0
2022.06.10	23:00:00	1.23103	1.23161	1.23061	1.23128	2003	0	0
2022.06.13	00:00:00	1.23179	1.23214	1.23107	1.23170	437	0	12
2022.06.13	01:00:00	1.23156	1.23159	1.22904	1.22945	2577	0	0
2022.06.13	02:00:00	1.22943	1.22997	1.22716	1.22767	4248	0	0
2022.06.13	03:00:00	1.22767	1.22854	1.22709	1.22756	4374	0	0
2022.06.13	04:00:00	1.22756	1.22816	1.22621	1.22651	5277	0	0
2022.06.13	05:00:00	1.22655	1.22791	1.22655	1.22740	4334	0	0
2022.06.13	06:00:00	1.22740	1.22900	1.22737	1.22897	3369	0	0
2022.06.13	07:00:00	1.22898	1.22917	1.22781	1.22859	2711	0	0
2022.06.13	08:00:00	1.22860	1.23007	1.22798	1.22850	3984	0	0
2022.06.13	09:00:00	1.22849	1.22864	1.22377	1.22603	6403	0	0
2022.06.13	10:00:00	1.22600	1.22791	1.22354	1.22396	6393	0	0
2022.06.13	11:00:00	1.22396	1.22429	1.22122	1.22195	6372	0	0
2022.06.13	12:00:00	1.22193	1.22227	1.21995	1.22002	5451	0	0
2022.06.13	13:00:00	1.22001	1.22163	1.21996	1.22016	5553	0	0
2022.06.13	14:00:00	1.22016	1.22017	1.21615	1.21618	6308	0	0
2022.06.13	15:00:00	1.21621	1.22087	1.21617	1.21949	7290	0	0
2022.06.13	16:00:00	1.21952	1.21961	1.21710	1.21793	7275	0	0
2022.06.13	17:00:00	1.21789	1.21852	1.21235	1.21305	7570	0	0
2022.06.13	18:00:00	1.21309	1.21719	1.21302	1.21684	6715	0	0
2022.06.13	19:00:00	1.21683	1.22005	1.21642	1.21735	6285	0	0
2022.06.13	20:00:00	1.21734	1.21867	1.21591	1.21743	4937	0	0
2022.06.13	21:00:00	1.21744	1.21761	1.21385	1.21410	5380	0	0
2022.06.13	22:00:00	1.21409	1.21646	1.21069	1.21257	8218	0	0
2022.06.13	23:00:00	1.21258	1.21363	1.21229	1.21323	2751	0	0
2022.06.14	00:00:00	1.21356	1.21378	1.21268	1.21354	962	0	12
2022.06.14	01:00:00	1.21351	1.21391	1.21240	1.21352	1778	0	0
2022.06.14	02:00:00	1.21350	1.21449	1.21312	1.21421	1431	0	0
2022.06.14	03:00:00	1.21421	1.21612	1.21324	1.21555	4895	0	0
2022.06.14	04:00:00	1.21554	1.21578	1.21342	1.21369	5663	0	0
2022.06.14	05:00:00	1.21368	1.21602	1.21360	1.21561	4578	0	0
2022.06.14	06:00:00	1.21555	1.21792	1.21540	1.21770	5239	0	0
2022.06.14	07:00:00	1.21770	1.21962	1.21724	1.21765	4334	0	0
2022.06.14	08:00:00	1.21766	1.21927	1.21675	1.21895	4602	0	0
2022.06.14	09:00:00	1.21890	1.22079	1.21656	1.21656	5870	0	0
2022.06.14	10:00:00	1.21658	1.21996	1.21564	1.21802	6892	0	0
2022.06.14	11:00:00	1.21801	1.21850	1.21494	1.21523	6640	0	0
2022.06.14	12:00:00	1.21523	1.21593	1.21028	1.21057	5917	0	0
2022.06.14	13:00:00	1.21062	1.21162	1.20823	1.20870	6374	0	0
2022.06.14	14:00:00	1.20869	1.20978	1.20638	1.20679	6266	0	0
2022.06.14	15:00:00	1.20679	1.20980	1.20624	1.20768	6969	0	0
2022.06.14	16:00:00	1.20769	1.20838	1.20427	1.20547	7825	0	0
2022.06.14	17:00:00	1.20542	1.20579	1.20001	1.20010	7941	0	0
2022.06.14	18:00:00	1.20012	1.20242	1.19892	1.20151	7407	0	0
2022.06.14	19:00:00	1.20152	1.20152	1.19894	1.19948	6761	0	0
2022.06.14	20:00:00	1.19942	1.20312	1.19852	1.19854	5983	0	0
2022.06.14	21:00:00	1.19855	1.19977	1.19708	1.19721	5235	0	0
2022.06.14	22:00:00	1.19719	1.19892	1.19339	1.19849	5994	0	0
2022.06.14	23:00:00	1.19848	1.19971	1.19825	1.19970	1358	0	0
2022.06.15	00:00:00	1.19956	1.20018	1.19871	1.19972	1172	0	12
2022.06.15	01:00:00	1.19972	1.20067	1.19923	1.20053	1808	0	0
2022.06.15	02:00:00	1.20062	1.20121	1.20013	1.20108	2696	0	0
2022.06.15	03:00:00	1.20111	1.20192	1.19995	1.20189	5429	0	0
2022.06.15	04:00:00	1.20188	1.20386	1.20156	1.20324	4980	0	0
2022.06.15	05:00:00	1.20323	1.20413	1.20297	1.20357	4070	0	0
2022.06.15	06:00:00	1.20358	1.20378	1.20220	1.20225	2563	0	0
2022.06.15	07:00:00	1.20224	1.20229	1.19985	1.20017	2755	0	0
2022.06.15	08:00:00	1.20017	1.20206	1.19890	1.20021	4504	0	0
2022.06.15	09:00:00	1.20022	1.20386	1.20014	1.20326	6980	0	0
2022.06.15	10:00:00	1.20328	1.20400	1.20120	1.20320	7282	0	0
2022.06.15	11:00:00	1.20319	1.20896	1.20282	1.20885	6970	0	0
2022.06.15	12:00:00	1.20884	1.20969	1.20674	1.20905	6307	0	0
2022.06.15	13:00:00	1.20905	1.21033	1.20806	1.20915	5818	0	0
