<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.04	08:00:00	1.26865	1.26902	1.26835	1.26866	1675	0	0
2023.07.04	09:00:00	1.26867	1.27111	1.26850	1.27063	2450	0	0
2023.07.04	10:00:00	1.27064	1.27085	1.26893	1.26966	2615	0	0
2023.07.04	11:00:00	1.26966	1.26995	1.26904	1.26952	2308	0	0
2023.07.04	12:00:00	1.26963	1.27056	1.26936	1.26978	2089	0	0
2023.07.04	13:00:00	1.26980	1.27141	1.26962	1.27083	1659	0	0
2023.07.04	14:00:00	1.27083	1.27251	1.27082	1.27164	1862	0	0
2023.07.04	15:00:00	1.27164	1.27395	1.27114	1.27366	2019	0	0
2023.07.04	16:00:00	1.27365	1.27365	1.27218	1.27270	2122	0	0
2023.07.04	17:00:00	1.27273	1.27372	1.27233	1.27262	2044	0	0
2023.07.04	18:00:00	1.27263	1.27356	1.27209	1.27308	1846	0	0
2023.07.04	19:00:00	1.27309	1.27310	1.27169	1.27185	1214	0	0
2023.07.04	20:00:00	1.27188	1.27239	1.27181	1.27212	859	0	0
2023.07.04	21:00:00	1.27212	1.27241	1.27194	1.27194	775	0	0
2023.07.04	22:00:00	1.27195	1.27197	1.27140	1.27151	1008	0	0
2023.07.04	23:00:00	1.27151	1.27164	1.27122	1.27130	731	0	0
2023.07.05	00:00:00	1.27105	1.27136	1.27081	1.27113	205	0	1
2023.07.05	01:00:00	1.27116	1.27152	1.27104	1.27134	608	0	0
2023.07.05	02:00:00	1.27134	1.27177	1.27112	1.27174	775	0	0
2023.07.05	03:00:00	1.27175	1.27212	1.27128	1.27138	1523	0	0
2023.07.05	04:00:00	1.27137	1.27163	1.27053	1.27063	2463	0	0
2023.07.05	05:00:00	1.27063	1.27072	1.27028	1.27062	1320	0	0
2023.07.05	06:00:00	1.27062	1.27075	1.27001	1.27062	1528	0	0
2023.07.05	07:00:00	1.27061	1.27075	1.27041	1.27057	1040	0	0
2023.07.05	08:00:00	1.27056	1.27137	1.26985	1.27051	1459	0	0
2023.07.05	09:00:00	1.27058	1.27098	1.26968	1.27040	2673	0	0
2023.07.05	10:00:00	1.27036	1.27223	1.27033	1.27106	3277	0	0
2023.07.05	11:00:00	1.27104	1.27177	1.26954	1.27123	3882	0	0
2023.07.05	12:00:00	1.27123	1.27176	1.27042	1.27144	2982	0	0
2023.07.05	13:00:00	1.27143	1.27157	1.26962	1.26986	2556	0	0
2023.07.05	14:00:00	1.26986	1.27048	1.26881	1.26989	2274	0	0
2023.07.05	15:00:00	1.26988	1.27264	1.26920	1.27151	3241	0	0
2023.07.05	16:00:00	1.27151	1.27355	1.27133	1.27290	4258	0	0
2023.07.05	17:00:00	1.27299	1.27335	1.27026	1.27170	4606	0	0
2023.07.05	18:00:00	1.27168	1.27227	1.27056	1.27078	3094	0	0
2023.07.05	19:00:00	1.27078	1.27178	1.27014	1.27075	1748	0	0
2023.07.05	20:00:00	1.27075	1.27123	1.27033	1.27054	1506	0	0
2023.07.05	21:00:00	1.27051	1.27118	1.26918	1.26942	2528	0	0
2023.07.05	22:00:00	1.26944	1.27048	1.26941	1.27007	1937	0	0
2023.07.05	23:00:00	1.27006	1.27041	1.27002	1.27040	761	0	0
2023.07.06	00:00:00	1.27032	1.27047	1.26932	1.27033	865	0	7
2023.07.06	01:00:00	1.27030	1.27062	1.27009	1.27016	482	0	0
2023.07.06	02:00:00	1.27016	1.27075	1.27005	1.27042	664	0	0
2023.07.06	03:00:00	1.27047	1.27063	1.26925	1.26974	1594	0	0
2023.07.06	04:00:00	1.26974	1.27049	1.26910	1.27038	2519	0	0
2023.07.06	05:00:00	1.27038	1.27120	1.27012	1.27048	2221	0	0
2023.07.06	06:00:00	1.27048	1.27051	1.26946	1.26946	1872	0	0
2023.07.06	07:00:00	1.26946	1.27041	1.26897	1.27038	2464	0	0
2023.07.06	08:00:00	1.27038	1.27114	1.27014	1.27093	2663	0	0
2023.07.06	09:00:00	1.27095	1.27202	1.27086	1.27165	2907	0	0
2023.07.06	10:00:00	1.27162	1.27311	1.26990	1.27238	4013	0	0
2023.07.06	11:00:00	1.27238	1.27276	1.26986	1.27108	4298	0	0
2023.07.06	12:00:00	1.27108	1.27319	1.27060	1.27297	3706	0	0
2023.07.06	13:00:00	1.27297	1.27799	1.27289	1.27716	3585	0	0
2023.07.06	14:00:00	1.27716	1.27794	1.27629	1.27738	2901	0	0
2023.07.06	15:00:00	1.27739	1.27812	1.27316	1.27463	6737	0	0
2023.07.06	16:00:00	1.27463	1.27600	1.27250	1.27354	5720	0	0
2023.07.06	17:00:00	1.27217	1.27317	1.26738	1.26955	6134	0	0
2023.07.06	18:00:00	1.26955	1.27221	1.26887	1.27184	4287	0	0
2023.07.06	19:00:00	1.27187	1.27337	1.27181	1.27273	3120	0	0
2023.07.06	20:00:00	1.27274	1.27341	1.27242	1.27337	2241	0	0
2023.07.06	21:00:00	1.27338	1.27431	1.27306	1.27414	1523	0	0
2023.07.06	22:00:00	1.27414	1.27439	1.27389	1.27420	1640	0	0
2023.07.06	23:00:00	1.27418	1.27418	1.27359	1.27392	944	0	0
2023.07.07	00:00:00	1.27395	1.27411	1.27315	1.27390	196	0	1
2023.07.07	01:00:00	1.27388	1.27412	1.27371	1.27409	532	0	0
2023.07.07	02:00:00	1.27411	1.27450	1.27407	1.27417	928	0	0
2023.07.07	03:00:00	1.27417	1.27443	1.27290	1.27319	1506	0	0
2023.07.07	04:00:00	1.27320	1.27390	1.27319	1.27326	1859	0	0
2023.07.07	05:00:00	1.27326	1.27339	1.27281	1.27284	1646	0	0
2023.07.07	06:00:00	1.27284	1.27368	1.27273	1.27363	1250	0	0
2023.07.07	07:00:00	1.27363	1.27447	1.27341	1.27403	1415	0	0
2023.07.07	08:00:00	1.27405	1.27482	1.27389	1.27419	2177	0	0
2023.07.07	09:00:00	1.27425	1.27499	1.27348	1.27385	2698	0	0
2023.07.07	10:00:00	1.27386	1.27462	1.27300	1.27319	3683	0	0
2023.07.07	11:00:00	1.27318	1.27458	1.27258	1.27346	2947	0	0
2023.07.07	12:00:00	1.27346	1.27549	1.27334	1.27483	3081	0	0
2023.07.07	13:00:00	1.27483	1.27686	1.27432	1.27619	2519	0	0
2023.07.07	14:00:00	1.27619	1.27720	1.27575	1.27616	2958	0	0
2023.07.07	15:00:00	1.27616	1.28080	1.27519	1.27806	6410	0	0
2023.07.07	16:00:00	1.27801	1.27992	1.27539	1.27918	6822	0	0
2023.07.07	17:00:00	1.27919	1.28295	1.27818	1.28252	5222	0	0
2023.07.07	18:00:00	1.28249	1.28387	1.28190	1.28381	4022	0	0
2023.07.07	19:00:00	1.28382	1.28496	1.28322	1.28494	3199	0	0
2023.07.07	20:00:00	1.28493	1.28493	1.28384	1.28404	2356	0	0
2023.07.07	21:00:00	1.28404	1.28410	1.28359	1.28393	1573	0	0
2023.07.07	22:00:00	1.28393	1.28394	1.28302	1.28303	1713	0	0
2023.07.07	23:00:00	1.28304	1.28400	1.28301	1.28398	1226	0	0
2023.07.10	00:00:00	1.28315	1.28356	1.28275	1.28298	128	0	84
2023.07.10	01:00:00	1.28305	1.28413	1.28305	1.28369	1068	0	0
2023.07.10	02:00:00	1.28369	1.28394	1.28314	1.28376	1116	0	0
2023.07.10	03:00:00	1.28377	1.28392	1.28217	1.28253	2018	0	0
2023.07.10	04:00:00	1.28254	1.28343	1.28197	1.28240	2594	0	0
2023.07.10	05:00:00	1.28240	1.28272	1.28150	1.28194	3723	0	0
2023.07.10	06:00:00	1.28196	1.28226	1.28090	1.28118	1835	0	0
2023.07.10	07:00:00	1.28118	1.28154	1.28089	1.28101	1865	0	0
2023.07.10	08:00:00	1.28100	1.28134	1.27994	1.27999	2373	0	0
2023.07.10	09:00:00	1.28002	1.28124	1.27983	1.28092	2800	0	0
2023.07.10	10:00:00	1.28092	1.28255	1.27997	1.28134	2998	0	0
2023.07.10	11:00:00	1.28136	1.28199	1.28086	1.28183	2733	0	0
2023.07.10	12:00:00	1.28182	1.28244	1.28032	1.28074	2497	0	0
2023.07.10	13:00:00	1.28075	1.28076	1.27840	1.27884	2233	0	0
2023.07.10	14:00:00	1.27884	1.27923	1.27738	1.27779	2574	0	0
2023.07.10	15:00:00	1.27780	1.27833	1.27506	1.27538	3953	0	0
2023.07.10	16:00:00	1.27538	1.27925	1.27538	1.27895	4494	0	0
2023.07.10	17:00:00	1.27896	1.28162	1.27857	1.28150	3950	0	0
2023.07.10	18:00:00	1.28151	1.28382	1.28150	1.28351	3049	0	0
2023.07.10	19:00:00	1.28351	1.28466	1.28308	1.28461	2025	0	0
2023.07.10	20:00:00	1.28460	1.28500	1.28430	1.28482	1874	0	0
2023.07.10	21:00:00	1.28482	1.28575	1.28459	1.28570	1703	0	0
2023.07.10	22:00:00	1.28570	1.28684	1.28551	1.28619	1724	0	0
2023.07.10	23:00:00	1.28618	1.28633	1.28591	1.28607	791	0	0
2023.07.11	00:00:00	1.28606	1.28606	1.28510	1.28574	255	0	1
2023.07.11	01:00:00	1.28591	1.28650	1.28579	1.28631	786	0	0
2023.07.11	02:00:00	1.28633	1.28662	1.28618	1.28636	592	0	0
2023.07.11	03:00:00	1.28640	1.28693	1.28578	1.28689	1777	0	0
2023.07.11	04:00:00	1.28688	1.28745	1.28660	1.28696	1818	0	0
2023.07.11	05:00:00	1.28696	1.28784	1.28645	1.28773	1804	0	0
2023.07.11	06:00:00	1.28772	1.28796	1.28709	1.28778	2105	0	0
2023.07.11	07:00:00	1.28778	1.28836	1.28749	1.28785	2033	0	0
2023.07.11	08:00:00	1.28788	1.28871	1.28673	1.28682	3226	0	0
2023.07.11	09:00:00	1.28681	1.29133	1.28675	1.28934	3746	0	0
2023.07.11	10:00:00	1.28934	1.28971	1.28715	1.28735	3946	0	0
2023.07.11	11:00:00	1.28733	1.28986	1.28704	1.28861	2903	0	0
2023.07.11	12:00:00	1.28857	1.29166	1.28846	1.29124	3127	0	0
2023.07.11	13:00:00	1.29123	1.29347	1.29097	1.29125	2749	0	0
2023.07.11	14:00:00	1.29124	1.29187	1.29016	1.29143	2972	0	0
2023.07.11	15:00:00	1.29143	1.29164	1.28868	1.28966	3705	0	0
2023.07.11	16:00:00	1.28968	1.29089	1.28861	1.29034	4561	0	0
2023.07.11	17:00:00	1.29041	1.29123	1.28914	1.28966	3429	0	0
2023.07.11	18:00:00	1.28966	1.29002	1.28881	1.28996	2935	0	0
2023.07.11	19:00:00	1.28995	1.29223	1.28974	1.29222	2058	0	0
2023.07.11	20:00:00	1.29223	1.29281	1.29171	1.29204	1945	0	0
2023.07.11	21:00:00	1.29204	1.29293	1.29148	1.29288	1785	0	0
2023.07.11	22:00:00	1.29288	1.29318	1.29249	1.29314	1729	0	0
2023.07.11	23:00:00	1.29314	1.29337	1.29286	1.29314	888	0	0
2023.07.12	00:00:00	1.29324	1.29335	1.29271	1.29299	186	0	1
2023.07.12	01:00:00	1.29299	1.29383	1.29287	1.29358	635	0	0
2023.07.12	02:00:00	1.29358	1.29393	1.29334	1.29337	946	0	0
2023.07.12	03:00:00	1.29337	1.29531	1.29317	1.29468	2676	0	0
2023.07.12	04:00:00	1.29465	1.29649	1.29454	1.29601	2738	0	0
2023.07.12	05:00:00	1.29600	1.29693	1.29561	1.29636	3252	0	0
2023.07.12	06:00:00	1.29635	1.29641	1.29561	1.29591	1866	0	0
2023.07.12	07:00:00	1.29593	1.29670	1.29563	1.29662	1578	0	0
2023.07.12	08:00:00	1.29662	1.29668	1.29516	1.29552	2210	0	0
2023.07.12	09:00:00	1.29556	1.29666	1.29422	1.29441	2704	0	0
2023.07.12	10:00:00	1.29442	1.29519	1.29348	1.29400	2851	0	0
2023.07.12	11:00:00	1.29398	1.29456	1.29320	1.29321	2437	0	0
2023.07.12	12:00:00	1.29322	1.29350	1.29221	1.29287	2513	0	0
2023.07.12	13:00:00	1.29287	1.29292	1.29170	1.29171	2134	0	0
2023.07.12	14:00:00	1.29164	1.29242	1.29059	1.29112	2408	0	0
2023.07.12	15:00:00	1.29110	1.29756	1.29040	1.29479	6579	0	0
2023.07.12	16:00:00	1.29480	1.29952	1.29464	1.29914	6543	0	0
2023.07.12	17:00:00	1.29913	1.30006	1.29771	1.29965	5444	0	0
2023.07.12	18:00:00	1.29964	1.29986	1.29813	1.29905	4158	0	0
2023.07.12	19:00:00	1.29903	1.29994	1.29857	1.29963	3673	0	0
2023.07.12	20:00:00	1.29963	1.29966	1.29765	1.29801	2720	0	0
2023.07.12	21:00:00	1.29806	1.29934	1.29788	1.29934	2350	0	0
2023.07.12	22:00:00	1.29933	1.29938	1.29875	1.29927	1828	0	0
2023.07.12	23:00:00	1.29925	1.29930	1.29877	1.29884	1001	0	0
2023.07.13	00:00:00	1.29874	1.29911	1.29804	1.29857	406	0	1
2023.07.13	01:00:00	1.29884	1.29929	1.29875	1.29917	793	0	0
2023.07.13	02:00:00	1.29917	1.29968	1.29906	1.29960	907	0	0
